"manzana","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000002170355",0,3,1,1,1,2,2,1,2,2,1,4,3,0,1
"7600110000000002170420",0,4,0,1,0,1,1,1,0,0,1,1,0,0,0
"7600110000000002120206",1,2,0,0,2,0,1,0,1,0,2,1,2,1,4
"7600110000000002120419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002230114",1,0,0,0,1,1,0,1,2,1,0,4,2,1,2
"7600110000000002070113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002090207",1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
"7600110000000002210101",0,0,0,1,0,2,3,0,0,1,1,0,0,2,1
"7600110000000002230212",0,1,0,1,2,0,0,1,0,0,2,1,1,0,1
"7600110000000002080214",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002110102",2,7,4,1,1,0,3,2,4,3,2,2,2,2,3
"7600110000000002230116",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"7600110000000002130402",2,1,2,1,2,1,0,1,1,2,0,1,3,2,1
"7600110000000002130319",0,2,2,1,0,0,0,1,1,0,0,0,1,0,1
"7600110000000002150106",0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
"7600110000000002110305",2,2,3,6,0,2,0,3,1,4,1,2,1,0,3
"7600110000000003050110",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002150116",0,1,0,0,2,1,1,1,0,0,0,0,1,1,1
"7600110000000002110107",6,5,11,7,2,8,6,10,5,8,5,8,7,4,4
"7600110000000002230312",2,2,1,3,3,2,2,1,1,6,0,0,1,3,2
"7600110000000002140104",1,0,0,0,2,2,0,0,1,1,0,0,0,0,1
"7600110000000002220208",1,0,1,0,0,0,0,2,0,2,0,2,3,0,0
"7600110000000002220211",1,2,1,1,0,0,1,1,2,1,0,1,0,2,0
"7600110000000002150108",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"7600110000000002040211",0,1,3,3,1,1,2,1,0,1,1,2,2,1,2
"7600110000000002120407",0,1,0,1,0,0,1,1,0,1,1,0,0,0,0
"7600110000000002170356",2,1,1,2,1,1,2,0,2,2,0,1,3,0,4
"7600110000000002080110",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"7600110000000002110304",7,4,6,6,5,8,7,1,5,3,8,6,9,6,4
"7600110000000002130104",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002230321",0,1,0,1,0,1,2,2,1,3,0,1,2,0,2
"7600110000000002150103",2,1,0,2,0,0,0,0,0,2,1,1,1,0,1
"7600110000000002130116",0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
"7600110000000002090309",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7600110000000002090308",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"7600110000000002130318",0,0,3,0,3,3,2,1,2,5,3,2,3,0,5
"7600110000000002170108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"7600110000000002230315",4,5,2,4,4,6,3,2,2,3,2,3,2,1,3
"7600110000000002210220",2,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"7600110000000002220313",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"7600110000000002130407",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"7600110000000002200307",0,2,0,2,1,0,1,2,1,0,1,3,3,0,2
"7600110000000002110302",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002170336",3,6,3,5,4,3,5,2,3,1,4,1,1,1,3
"7600110000000003050117",1,2,0,1,0,0,0,2,0,2,0,0,0,0,1
"7600110000000003050101",3,2,0,0,0,3,1,0,1,2,0,0,0,0,0
"7600110000000002130115",0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
"7600110000000002130205",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"7600110000000002030141",2,2,0,1,2,0,4,4,1,0,2,1,4,2,3
"7600110000000002060111",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"7600110000000002060113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002210116",0,0,0,0,2,0,0,0,1,0,0,0,1,3,2
"7600110000000002200124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002230308",3,2,1,0,1,1,1,2,3,1,2,2,1,3,0
"7600110000000002180107",1,8,1,4,2,3,4,2,1,1,4,2,1,3,4
"7600110000000002090114",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7600110000000002110211",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"7600110000000002120107",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002170417",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002210215",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"7600110000000003060115",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"7600110000000002110301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170403",0,0,2,1,0,4,1,1,1,1,2,4,0,2,0
"7600110000000002070115",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"7600110000000002130317",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"7600110000000002210214",0,0,1,0,0,0,2,0,2,0,0,0,1,1,0
"7600110000000002230224",0,3,2,2,1,2,0,1,3,3,1,1,1,1,1
"7600110000000003050118",0,1,0,0,0,0,1,0,0,2,0,0,1,1,0
"7600110000000002040132",0,1,1,1,3,1,3,0,3,1,2,0,1,1,1
"7600110000000002120512",2,2,0,2,1,2,1,1,0,0,0,0,1,2,2
"7600110000000002090212",0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
"7600110000000002220420",9,10,11,5,7,6,7,9,3,13,12,11,7,10,10
"7600110000000002110214",1,0,1,0,1,0,0,1,0,1,1,1,1,1,0
"7600110000000002010313",1,2,0,1,2,1,0,0,1,2,3,4,1,1,1
"7600110000000002110217",1,0,0,1,1,0,0,0,0,0,0,1,1,0,1
"7600110000000002010228",0,0,0,0,0,0,1,0,0,0,1,2,0,1,1
"7600110000000002060112",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7600110000000002120405",0,0,1,0,0,0,0,3,0,2,2,0,1,0,2
"7600110000000002210207",1,1,0,0,0,0,0,2,0,0,1,0,1,0,0
"7600110000000002110212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002110213",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7600110000000002130112",0,1,0,0,1,1,0,0,2,2,2,0,3,1,2
"7600110000000002230209",4,11,8,13,13,2,12,8,11,13,9,12,11,10,21
"7600110000000002080407",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"7600110000000002130216",0,1,1,1,0,0,0,0,0,1,0,1,1,1,1
"7600110000000002230102",0,0,0,1,0,0,0,0,0,1,0,0,0,3,0
"7600110000000002010108",2,1,1,1,0,0,1,0,0,1,0,1,2,0,3
"7600110000000002060225",0,0,2,1,1,2,1,1,0,0,1,0,1,2,0
"7600110000000002110313",0,1,0,1,0,0,0,2,0,1,2,0,0,0,1
"7600110000000002230115",0,1,1,2,1,2,1,0,1,1,0,0,0,0,1
"7600110000000003050119",0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
"7600110000000002220413",0,0,0,1,0,1,0,0,1,0,4,0,2,1,1
"7600110000000002130212",1,1,0,0,0,0,1,1,1,1,0,1,0,0,1
"7600110000000002060310",0,0,2,1,0,0,0,0,0,1,0,0,0,0,2
"7600110000000002120505",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"7600110000000002230226",1,0,0,3,0,2,0,0,1,1,0,2,1,2,0
"7600110000000002080103",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7600110000000002230202",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"7600110000000002040142",2,0,1,1,0,1,2,1,1,1,4,1,3,1,1
"7600110000000002010315",0,3,0,0,0,0,0,1,0,0,3,0,1,0,0
"7600110000000002070101",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7600110000000002220309",1,1,2,2,0,0,1,4,0,4,1,1,0,2,2
"7600110000000002170203",2,2,0,0,0,1,0,1,1,2,0,0,1,1,1
"7600110000000002210225",0,2,1,0,1,2,0,0,0,0,0,0,1,1,0
"7600110000000002120116",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"7600110000000002170404",2,1,1,0,2,0,1,0,0,2,0,0,3,0,0
"7600110000000002060119",1,1,0,1,0,1,1,1,0,1,1,2,1,0,2
"7600110000000002170316",6,4,4,3,7,2,6,2,9,3,6,6,4,6,6
"7600110000000002120305",0,1,1,0,0,0,0,0,1,0,2,0,0,1,0
"7600110000000002170370",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"7600110000000002060307",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"7600110000000002200308",0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
"7600110000000002010225",0,1,2,4,2,2,2,2,2,3,0,1,1,1,1
"7600110000000002080424",0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
"7600110000000002010101",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"7600110000000002060118",0,0,0,0,0,0,0,1,1,1,1,2,1,0,0
"7600110000000002230323",1,0,2,2,1,2,0,1,2,2,1,1,2,0,0
"7600110000000002080410",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7600110000000002030108",0,0,0,0,1,0,1,1,2,3,1,0,3,0,2
"7600110000000002020104",0,0,2,0,0,1,0,0,0,1,1,0,1,0,1
"7600110000000002120120",0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
"7600110000000002220202",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"7600110000000002070106",0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
"7600110000000002060208",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002230215",0,2,1,0,1,1,0,2,1,0,2,0,3,4,1
"7600110000000002090215",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"7600110000000002120306",0,0,1,0,3,0,1,0,0,0,0,1,0,1,1
"7600110000000002200219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002110401",0,1,1,0,0,1,2,1,0,0,0,0,0,1,2
"7600110000000002090404",3,2,0,1,0,0,2,1,3,0,1,2,0,2,1
"7600110000000002040130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002040109",3,0,2,0,1,1,1,1,0,0,0,1,1,1,0
"7600110000000002010230",1,4,0,3,7,2,8,3,7,4,3,4,6,5,1
"7600110000000002220406",0,0,1,1,0,1,1,0,5,0,1,2,0,1,0
"7600110000000002120517",0,1,0,1,2,0,0,0,0,0,1,0,0,1,0
"7600110000000003050105",0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
"7600110000000002120113",1,1,1,0,3,0,1,1,0,2,0,1,2,1,1
"7600110000000002050115",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"7600110000000002070120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002110216",0,0,0,0,1,1,1,1,0,1,1,0,0,1,1
"7600110000000002110405",0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
"7600110000000002200112",3,2,5,2,4,2,3,5,3,4,3,1,2,1,4
"7600110000000002200117",2,0,0,1,0,1,4,1,2,0,2,3,1,0,1
"7600110000000002170366",1,1,0,2,0,1,4,1,0,1,0,3,1,3,2
"7600110000000002030124",7,12,6,9,6,2,6,11,4,6,12,5,7,2,8
"7600110000000002110103",1,2,0,2,3,0,0,1,2,1,1,0,0,1,1
"7600110000000002060221",1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"7600110000000002210119",0,2,1,2,0,1,1,0,0,1,0,2,1,2,0
"7600110000000003050112",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"7600110000000002160101",3,1,3,4,1,3,2,3,2,3,5,2,0,1,0
"7600110000000002130305",1,1,3,2,1,2,0,0,2,0,0,0,2,1,0
"7600110000000003050116",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002140136",0,3,4,1,4,2,6,2,1,3,2,7,1,2,2
"7600110000000002200213",3,2,0,0,0,1,3,3,0,0,0,0,1,1,3
"7600110000000002210219",0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
"7600110000000002080423",1,0,0,0,1,1,0,0,1,0,2,2,1,2,1
"7600110000000002080406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002090105",0,0,1,0,1,3,0,0,0,0,1,0,0,0,1
"7600110000000002110203",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"7600110000000002090101",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"7600110000000002090109",0,0,1,0,0,0,0,3,1,1,0,0,1,0,1
"7600110000000002090202",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002170104",0,0,0,0,0,0,3,1,0,3,0,0,0,1,2
"7600110000000002090411",0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
"7600110000000002060313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002090111",0,1,1,0,0,3,0,1,1,0,1,1,0,0,1
"7600110000000002090316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002130306",0,0,0,1,0,0,1,0,0,0,0,1,1,0,2
"7600110000000002010314",1,0,0,0,1,0,0,0,0,2,3,1,0,3,0
"7600110000000002130312",0,1,0,0,0,1,1,0,1,0,2,1,1,0,0
"7600110000000002080211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002180112",0,1,0,1,1,0,2,2,2,1,2,0,2,1,4
"7600110000000002160104",0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"7600110000000002090214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002120526",0,0,1,0,0,0,2,0,0,1,1,0,0,0,0
"7600110000000002120501",2,3,0,1,0,2,0,0,0,0,1,0,0,0,1
"7600110000000002120506",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"7600110000000002120417",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7600110000000002050110",1,0,0,1,1,1,1,1,0,1,1,1,0,1,0
"7600110000000002170405",0,0,2,0,1,0,1,2,1,0,0,0,0,0,0
"7600110000000002080212",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002210224",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"7600110000000002070105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002110207",0,0,1,0,2,1,1,0,0,1,1,1,0,1,4
"7600110000000002060222",1,0,1,1,0,1,0,1,1,2,1,0,1,0,0
"7600110000000002130411",1,1,4,0,2,5,1,2,0,0,1,1,1,1,2
"7600110000000002210105",0,0,0,0,0,0,0,2,2,0,1,0,2,2,2
"7600110000000002110106",3,2,3,4,5,7,2,1,7,2,3,7,8,4,6
"7600110000000002130110",0,2,1,0,2,0,1,0,0,1,0,1,1,0,1
"7600110000000002120208",0,0,0,3,1,1,0,2,0,0,1,0,0,0,2
"7600110000000002120513",0,3,0,4,0,3,0,1,1,2,0,1,0,1,0
"7600110000000002230201",2,3,3,7,3,2,1,4,2,5,5,1,4,6,4
"7600110000000002120408",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7600110000000002010311",0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"7600110000000002090108",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7600110000000002040135",1,0,4,1,4,2,2,0,4,0,2,1,1,3,0
"7600110000000002060109",0,3,0,0,1,0,0,0,0,2,0,0,1,1,1
"7600110000000002120520",0,0,0,0,1,1,0,1,0,0,1,1,2,0,0
"7600110000000019440315",4,1,2,2,0,1,4,2,3,1,2,1,1,2,1
"7600110000000002130409",0,0,1,0,0,2,0,1,0,0,0,1,1,0,0
"7600110000000002060101",4,1,0,3,0,0,0,5,1,0,0,2,1,0,2
"7600110000000002060201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002130313",0,0,0,1,0,0,0,1,0,2,1,2,1,0,1
"7600110000000002130211",0,1,0,0,0,0,0,3,0,1,1,1,0,1,1
"7600110000000002120119",0,3,1,0,0,0,0,0,0,2,1,0,3,1,2
"7600110000000002220112",1,0,1,2,1,0,0,1,1,1,0,1,0,0,0
"7600110000000002170406",1,1,2,1,2,2,0,0,0,0,0,1,3,1,1
"7600110000000002120112",1,0,0,0,0,0,0,0,5,0,1,0,0,2,0
"7600110000000002210210",1,0,3,0,1,0,0,0,4,0,1,1,0,1,0
"7600110000000002060103",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"7600110000000002130201",1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"7600110000000002080310",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"7600110000000002130315",0,1,3,0,2,1,1,2,0,1,0,1,1,2,1
"7600110000000002090110",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"7600110000000002170402",1,4,1,1,3,1,0,1,1,2,3,2,0,3,1
"7600110000000002020112",1,1,1,1,1,1,2,1,1,1,2,1,3,1,2
"7600110000000002230330",1,0,1,0,0,1,0,0,2,0,1,1,1,0,1
"7600110000000002210205",0,2,0,0,1,0,2,2,2,0,0,1,0,3,2
"7600110000000002210222",0,0,0,0,0,3,1,0,1,0,0,0,0,0,0
"7600110000000002220203",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"7600110000000002020106",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170418",0,0,1,0,0,0,1,1,0,0,0,2,0,2,1
"7600110000000002070118",0,0,0,1,2,0,0,0,0,0,1,0,0,0,1
"7600110000000002210120",0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
"7600110000000002210102",0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"7600110000000002210221",0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
"7600110000000002220212",0,0,1,0,0,1,0,0,2,0,2,2,0,1,2
"7600110000000002130314",0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
"7600110000000002110410",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"7600110000000002040141",0,2,0,0,0,0,0,0,0,1,0,0,1,0,1
"7600110000000002120504",1,2,0,0,0,1,0,1,0,0,0,1,1,1,3
"7600110000000002010227",2,4,1,4,2,3,3,8,4,3,2,3,7,7,7
"7600110000000002200210",2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"7600110000000002080208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002210113",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"7600110000000002080413",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002170319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170119",0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
"7600110000000002170110",1,0,1,0,0,1,1,2,0,1,0,3,2,3,1
"7600110000000002120409",1,0,1,0,0,0,0,0,1,0,0,0,1,0,2
"7600110000000002170333",0,0,1,0,0,0,0,0,2,0,1,0,3,3,2
"7600110000000002110204",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7600110000000002150117",0,0,0,0,3,0,0,0,2,1,1,1,0,1,0
"7600110000000002220101",2,4,6,2,7,6,4,8,7,5,5,6,5,6,6
"7600110000000002010216",1,1,1,1,1,2,3,2,2,1,2,0,0,0,0
"7600110000000002120207",1,1,0,0,0,0,2,2,0,1,0,2,1,0,0
"7600110000000002200120",5,6,2,5,1,2,5,2,2,0,5,2,1,8,10
"7600110000000002090304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002230332",4,0,0,6,1,0,0,1,3,1,0,2,2,4,2
"7600110000000002230307",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"7600110000000002200204",1,0,1,0,0,0,0,1,0,0,0,1,0,1,2
"7600110000000002200114",0,0,0,1,0,0,1,0,2,1,0,0,1,1,0
"7600110000000002220209",2,0,0,1,0,1,0,0,1,1,2,3,0,1,1
"7600110000000002060315",0,0,0,0,2,0,0,1,1,3,0,3,1,3,2
"7600110000000002090219",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"7600110000000002040208",0,1,1,0,1,1,0,1,0,0,1,1,3,1,4
"7600110000000002130217",0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
"7600110000000002130103",0,0,4,1,0,1,0,0,2,0,1,1,1,0,1
"7600110000000002130215",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"7600110000000002210109",0,0,0,1,1,1,0,0,1,1,1,0,2,1,0
"7600110000000002110101",15,8,5,4,4,9,1,5,5,3,6,4,6,3,6
"7600110000000002130208",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"7600110000000002170113",2,0,0,2,0,0,1,0,0,0,0,0,1,0,0
"7600110000000002080108",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002120302",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"7600110000000003050103",0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"7600110000000002230306",0,1,0,0,1,0,2,3,0,3,3,1,3,1,2
"7600110000000002040103",0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
"7600110000000002020107",0,0,0,0,0,0,1,0,1,0,2,1,1,0,0
"7600110000000002170317",3,1,4,1,5,0,2,2,3,1,2,1,3,5,1
"7600110000000002220104",5,5,7,8,5,7,3,14,8,6,8,6,3,6,6
"7600110000000003050106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002040133",1,0,0,1,1,1,0,0,0,0,1,1,2,0,1
"7600110000000002160105",1,0,0,1,2,0,0,1,1,1,1,1,0,0,0
"7600110000000002150113",1,2,0,3,0,1,1,2,0,1,0,1,1,1,0
"7600110000000002170118",0,0,1,3,1,3,1,0,0,0,2,1,1,1,0
"7600110000000002060117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002230222",7,4,6,9,6,10,5,2,6,7,7,3,4,5,7
